"Name","Country","District","Population"
"Mumbai (Bombay)","India","Maharashtra","10500000"
"Seoul","South Korea","Seoul","9981619"
"Ṣo Paulo","Brazil","Ṣo Paulo","9968485"
"Shanghai","China","Shanghai","9696300"
"Jakarta","Indonesia","Jakarta Raya","9604900"
