Name,Country,District,Population
Berlin,Germany,Berliini,3386667
Paris,France,Île-de-France,2125246
Hamburg,Germany,Hamburg,1704735
Wien,Austria,Wien,1608144
Munich [München],Germany,Baijeri,1194560
